organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
NrQyKoUUTjl,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Jato Aka,p.ng.CCFN.1489,,951,891,60,73,75,75,75,75,13,,7,1331
fNNUQiVT6x3,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mbaakon,p.ng.CCFN.1750,,1422,1356,66,19,37,37,37,37,13,,6,1353
LQY80730nX8,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mkar,p.ng.CIHP.1372,,7831,7753,78,142,40,22,22,22,4,,49,380
x9AGFcyHbas,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Sai,p.ng.IHVN.1440,,336,325,11,44,31,31,31,31,7,,15,347
vDwjnLtvE9E,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital- Zaki Biam,p.ng.CCFN.1707,,5008,4789,219,174,85,85,85,85,55,,94,1015
p8k5u3mv6dH,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Agwabi Buruku,,,,,,,0,0,0,0,0,,0,0
vhponVEgOwi,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Ahobee,p.ng.CCFN.1497,,,,,,29,29,29,29,1,,2,212
fqQMHzXeExZ,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Anber,,,,,,,141,141,141,141,4,,0,469
dOnbIETcQXX,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Biliji,p.ng.IHVN.1342,,15,15,0,15,25,25,25,25,5,,0,1231
bD3Z7sBYAkk,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Kasar,,,318,303,15,39,29,29,29,29,9,,4,219
pf5zlZ3n4eZ,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Mbaakpur,p.ng.CCFN.1468,,,,,,130,130,130,130,3,,0,971
AUxnTCxG8Hn,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Pervkyaa,p.ng.CCFN.1706,,,,,,116,116,116,116,5,,8,786
jKMtJUeZG6T,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Ubaya,,,,,,,201,201,201,201,1,,0,790
XAGjhppjhh3,Northbank General Hospital,p.ng.CIHP.1523,,4216,4063,153,86,183,183,183,183,26,,38,568
Et4PNkcr5A0,Nyadafa Health Centre,,,,,,,35,35,35,35,0,,0,79
DbQwJh2aSqj,Nyam Ugbeh Clinic,p.ng.CIHP.1460,,456,432,24,51,352,352,352,352,17,,0,2362
GMznf7OBnIg,Nyihemba Primary Health Center,p.ng.IHVN.1481,,,,,,0,0,0,0,0,,0,0
O8mETbtR3if,Obagaji Agatu Comprehensive Health Center,p.ng.CIHP.1295,,,,,,27,27,27,27,0,,0,287
KA8T2JoKOo4,Obu-Otukpa Primary Health Center,p.ng.CIHP.1573,,,,,,8,8,8,8,0,,0,57
mqsSy5I1kdU,Obussa Primary Health Center,p.ng.IHVN.1618,,,,,,25,25,25,25,1,,0,101
Ku18aPUvKXU,Ojenya Primary Health Center,p.ng.CIHP.1572,,,,,,55,55,55,55,0,,0,415
uSeJS22p2r2,Okileme Primary Health Center,p.ng.CIHP.1570,,,,,,35,35,35,35,14,,0,192
WqanRoYZhre,Okopga General Hospital,p.ng.CIHP.1623,,325,323,2,10,59,59,59,59,0,,0,438
lRYNS2wfuhr,Omutele Primary Health Center,p.ng.CIHP.1587,,,,,,6,6,6,6,0,,0,46
Ct8Iraz4Wwz,Onmba Aondo Comprehensive Health Center,p.ng.CIHP.1544,,35,32,3,7,51,51,51,51,0,,0,2831
odUEWUJrxFJ,Onyangede Primary Health Center,p.ng.CIHP.1592,,,,,,32,32,32,32,0,,0,138
oVvqxfB2P4W,Oostra-Gum Clinic and Maternity,p.ng.IHVN.1724,,331,313,18,15,61,61,61,61,2,,3,242
DVKW20STdPp,Origbo Primary Health Center,p.ng.CIHP.1545,,,,,,19,19,19,19,1,,0,31
maFYA6npiof,Oruwa Primary Health Center,,,,,,,0,0,0,0,0,,0,0
ykd4IuUGt3v,Otobi Akpa Primary Health Center,p.ng.CIHP.1667,,,,,,40,40,40,40,0,,0,54
gOVPork6fJY,Otukpo-Icho Primary Health Center,p.ng.CIHP.1646,,,,,,8,8,8,8,0,,0,350
sjKFIaqLXzI,Oturkpo General Hospital,p.ng.CIHP.1650,,3073,3045,28,69,181,181,181,181,9,,25,1425
GsDaIB34rvZ,Oyeoshima Memorial Hospital - Obagaji,p.ng.CCFN.1306,,,,,,80,80,80,80,0,,0,190
lJi7cRmWTRT,Pewaren Hospital,p.ng.IHVN.1385,,,,,,0,0,0,0,0,,0,0
mHQFWXYfC6i,Phesset Clinic,,,67,64,3,18,18,18,18,18,1,,0,258
kWdcnanesGf,Progress Clinic,,,0,0,0,0,6,6,6,6,1,,0,139
Km93XCNZYCr,Rahama Clinic and Maternity,p.ng.CIHP.1521,,,,,,1,1,1,1,1,,0,166
lT0dFPuROo5,Royal Clinic and Maternity Wuese,,,95,91,4,17,21,21,21,21,0,,0,269
YqtrJF9sW3U,Sahara Clinic,,,220,214,6,7,2,2,2,2,1,,0,56
W0z2Y4xAH3N,Salem Clinic - Gbor,p.ng.CIHP.1439,,,,,,30,30,30,30,2,,0,107
p5jlZi85pLh,Salem Primary Health Centre,,,,,,,4,4,4,4,0,,0,40
kOmUbf3xx0o,Salvation Hospital,p.ng.CIHP.1713,,,,,,28,28,28,28,3,,4,851
EGG0mUGRKdC,Sankera Family Support Program Clinic,,,,,,,62,62,62,62,0,,0,363
qk2SW3ifeyo,Sankera General Hospital,p.ng.CIHP.1704,,5823,5761,62,204,81,81,81,81,31,,41,173
LUkUENaNGN6,Sati Ikov Health Clinic,,,4,4,0,4,39,39,39,39,4,,2,150
pcpLg0h9HGx,Sauki Health Clinic,,,0,0,0,0,30,30,30,30,0,,0,81
ucA8oXS8NE4,Sev-Av Foundation - Gboko,p.ng.IHVN.1386,,,,,,19,19,19,19,8,,0,100
iU5WiOjaPBb,Sev-Av Foundation - Vandeikya,p.ng.IHVN.1757,,,,,,28,28,28,28,1,,0,66
f37GcokYWeu,Social Clinic,,,,,,,0,0,0,0,0,,0,0
zuehjuhNlcJ,St James Health Centre Ogboju-Ogobia,p.ng.CCFN.1659,,,,,,95,95,95,95,2,,0,396
UwPzLQbX6z0,St. Anthony's Hospital - Zaki Biam,p.ng.CCFN.1708,,5444,5168,276,168,126,126,126,126,53,,70,1154
vsOSmmIFlY5,St. Augustine Clinic,,,0,0,0,0,0,0,0,0,0,,0,48
jwRjWD3wLjp,St. Charles' Hospital,p.ng.CCFN.1668,,435,419,16,13,342,342,342,342,9,,9,1623
zJseTdMM6Ph,St. Christopher Health Clinic - Wannune,p.ng.CIHP.1675,,,,,,71,71,71,71,6,,0,486
xJSu0qeS9vf,St. Francis Primary Health Center,,,0,0,0,0,13,13,13,13,0,,0,249
mfPtKtcH3hA,St. Francis Primary Health Center - Agagbe,,,96,91,5,10,46,46,46,46,2,,9,896
ooVgKxaybti,St. Gregory Health Center,p.ng.CIHP.1416,,770,746,24,52,69,69,69,69,11,,0,683
KLG4R1DqCDW,St. Joseph Maternity Clinic - Korinya,p.ng.CIHP.1467,,0,0,0,0,17,17,17,17,3,,0,192
sIqd320H5pa,St. Joseph's Hospital-Ogobia,p.ng.CCFN.1660,,380,365,15,14,113,113,113,113,5,,10,764
ylQ6RLXvHHJ,St. Martha's Clinic and Maternity - Ugbema,,,,,,,158,158,158,158,6,,0,426
F5pWs5NRtpw,St. Martins De Porres Primary Health Center,p.ng.IHVN.1583,,,,,,22,22,22,22,1,,0,113
ROzMKxCUG62,St. Mary Primary Health Center - Chito,p.ng.IHVN.1703,,,,,,0,0,0,0,0,,0,0
BX3EuUL4p5y,St. Mary's Hospital - Okpoga,p.ng.CCFN.1630,,1882,1824,58,29,205,205,205,205,16,,39,1727
MA3kXKHqF8L,St. Mary's Primary Health Center - Alumuku,,,,,,,125,125,125,125,6,,0,517
ph0DmxOzLrH,St. Mary's Primary Health Center - Tor Donga,,,,,,0,113,113,113,113,0,,1,250
UD9kpV91uHO,St. Michael's Clinic - Agasha,p.ng.CCFN.1398,,,,,,44,44,44,44,1,,0,139
SNb8IS5SukA,St. Michaels Clinic,,,,,,,2,2,2,2,1,,0,39
ZOw5RCxEDrh,St. Monica's Hospital - Adikpo,p.ng.CCFN.1488,,4605,4440,165,85,307,307,307,307,48,,37,1401
rl5sKUJnKn3,St. Paul's Clinic - Ikyaator,p.ng.CCFN.1755,,,,,,73,73,73,73,1,,0,301
Q47OYvdxPhQ,St. Paul's Clinic - Sambe,p.ng.CCFN.1756,,,,,,77,77,77,77,4,,12,577
Mb5HQ1iM2ci,St. Paul's Primary Health Center - Ashamena,,,,,,,41,41,41,41,1,,0,297
hVzKZ1wF5v1,St. Peters Primary Health Center - Aondonaa,,,,,,,61,61,61,61,1,,0,298
Anw44QfDgdC,St. Theresa Hospital - Otukpo,p.ng.IHVN.1656,,,,,,0,0,0,0,0,,0,0
r6flrs4ehWz,St. Thomas Hospital - Ihugh,p.ng.CCFN.1751,,3892,3715,177,72,104,104,104,104,27,,55,1654
POuRUbKpyDl,St. Veronica Clinic and Maternity - Oturkpo,p.ng.IHVN.1387,,,,,,0,0,0,0,0,,0,0
wmDk1IHm8kU,St. Veronica Health Center,p.ng.CIHP.1364,,,,,,23,23,23,23,0,,0,176
IZyzmuDFVIJ,St. Vincents Hospital,p.ng.CCFN.1410,,5280,5076,204,126,502,502,502,502,49,,63,3369
y5YbCaq6VFR,Subbesa Clinic,,,,,,,16,16,16,16,0,,0,119
anU88HoEhSo,Taraku Primary Health Center,p.ng.IHVN.1417,,,,,,0,0,0,0,0,,0,0
jGti2H2XezH,Tarvachan Comprehensive Health Center,p.ng.CIHP.1443,,301,278,23,24,21,21,21,21,5,,0,145
EyvD2SO18Ls,Three Brothers Transport  Hospital - Gboko,p.ng.IHVN.1368,,767,732,35,24,121,121,121,121,10,,3,361
nV2DKeGv8AQ,Tiortyu Local Government Health Center,p.ng.CIHP.1683,,64,61,3,14,24,24,24,24,0,,0,468
ZYZAcgboJvx,Tongo  Primary Health Center,p.ng.CIHP.1461,,0,0,0,0,34,34,34,34,0,,0,88
eeMmUo80f1k,Tongov Primary Health Centre,,,24,23,1,7,27,27,27,27,0,,0,988
TWjlsSujkEb,Tor Medical Center - Ushongo,p.ng.IHVN.1726,,0,0,0,0,13,13,13,13,0,,3,33
W5NNtTAwz9t,Tordonga Primary Health Center,p.ng.CIHP.1429,,1295,1222,73,131,123,123,123,123,20,,5,944
wPBzr3bpuFY,Tordoo Clinic,,,,,,,32,32,32,32,0,,0,93
dJz3RVewIzM,Torkwembe Clinic,,,,,,,0,0,0,0,0,,0,0
bNXkry2HvEv,Tornajime Model Primary Health Center,p.ng.CIHP.1689,,,,,,20,20,20,20,0,,0,89
FUKJdEDgVT8,Township Clinic,,,47,42,5,6,23,23,23,23,2,,0,140
RlGe0zMvrra,Township Clinic - Wannune,p.ng.CIHP.1676,,,,,,127,127,127,127,6,,3,660
bPKw3iYUKCh,Tsar Model Primary Health Center,p.ng.IHVN.1744,,,,,,0,0,0,0,3,,0,
iVDvygVrrDg,Tse Akeme Primary Health Center,p.ng.IHVN.1709,,,,,,0,0,0,0,0,,0,0
BWwKy9VeLOM,Tse Kucha Primary Health Center,p.ng.CIHP.1357,,,,,,32,32,32,32,1,,0,77
VBS2KAxTWl8,Tse-Agbaragba Primary Health Center,p.ng.CIHP.1471,,204,189,15,19,27,27,27,27,3,,0,224
jUXd98nF6tO,Tse-Akiishi Primary Health Center,p.ng.CIHP.1681,,90,87,3,6,18,18,18,18,0,,0,963
ZTPVFq6u1nN,Tse-Tiah Primary Health Centre,,,29,28,1,15,11,11,11,11,0,,0,1264
cOc62Ku53kR,Tseghem Comprehensive Health Center,p.ng.CIHP.1722,,101,99,2,12,28,28,28,28,3,,3,382
YlxyMD0zmCn,Tugudu Primary Health Center,p.ng.CIHP.1395,,,,,,16,16,16,16,0,,0,48
WCHeWC7Nxsi,Tyam Comprehensive Health Center,p.ng.CIHP.1736,,,,,,24,24,24,24,0,,0,253
qJAETCelgyS,Tyeminongu Local Government Health Center,p.ng.CIHP.1746,,,,,,18,18,18,18,3,,0,227
ES15z3zgFpM,Tyoate Comprehensive Health Center,p.ng.CIHP.1445,,228,220,8,5,16,16,16,16,0,,0,163
h5NpU6aWI16,Tyough Primary Health Center,,,0,0,0,0,13,13,13,13,0,,0,85
kPGQXJlsGON,Tyowanye Primary Health Center,p.ng.CIHP.1338,,123,119,4,30,67,67,67,67,4,,3,1019
fRu5JBdDWTp,Tyson Clinic,,,0,0,0,0,0,0,0,0,0,,0,58
jUhaJSvsg2f,Uboagere Comprehensive Health Center,p.ng.CIHP.1448,,2,2,0,2,20,20,20,20,2,,0,114
YAgu3EF8fPC,Ubwa Primary Health Center,p.ng.CIHP.1455,,1,1,0,1,32,32,32,32,2,,0,119
Wj6CKL5YwCL,Uchi Primary Health Center,p.ng.CIHP.1549,,,,,,14,14,14,14,3,,0,53
bkw7eER1sQg,Uga Primary Health Center,p.ng.CIHP.1333,,18,18,0,18,42,42,42,42,2,,0,1333
QQLKjN6lqf7,Ugba Comprehensive Health Center,p.ng.CCFN.1512,,838,791,47,69,345,345,345,345,19,,19,1589
bTwuESPkfSO,Ugba General Hospital,p.ng.CIHP.1502,,2608,2539,69,130,50,50,50,50,30,,29,1113
NEntA3EhuNV,Ugbokolo Comprehensive Health Center,p.ng.CIHP.1621,,,,,,30,30,30,30,2,,0,55
DBWPwvDC0AX,Ukpogo Primary Health Center,p.ng.CIHP.1316,,,,,,0,0,0,0,0,,0,0
ceWT53eKvUg,Ukyaagu Clinic and Maternity,p.ng.CIHP.1759,,,,,,4,4,4,4,0,,0,7
fBtGvYkoM2p,Umogidi Primary Health Center,p.ng.CIHP.1637,,,,,,,,,,,,,0
U6bu2tnfakv,Unguwar Dabia Primary Health Center,p.ng.CIHP.1312,,,,,,,,,,,,,0
xsvR92DHPbA,Upu Primary Health Center,p.ng.CIHP.1645,,,,,,,,,,,,,0
lS9OJNmawzr,Usaka Health Clinic Tsuwe,,,33,32,1,6,6,6,6,6,2,,0,76
O2BeYMNRPjU,Usen Apaa Primary Health Center,,,,,,,,,,,,,,167
XnHRGEEKQSR,Usen Tombo Primary Health Center,,,0,0,0,0,36,36,36,36,0,,0,0
FuHdYbMsHCb,Ushakaa Hospital,p.ng.IHVN.1422,,,,,,14,14,14,14,2,,2,343
AC09BTkiT9k,Ushongo Comprehensive Health Center,p.ng.CIHP.1716,,146,130,16,16,46,46,46,46,6,,2,427
FFZfpSZjxhj,Uton Kon Comprehensive Health Center,p.ng.CIHP.1292,,,,,,92,92,92,92,2,,0,294
Tj6mOtw94Xz,Utsombi Model Primary Health Center,p.ng.CIHP.1344,,,,,,40,40,40,40,0,,2,253
ejgzakpM81n,Uzer Local Government Health Center,p.ng.CIHP.1507,,354,347,7,47,27,25,25,25,2,,2,483
PYkGrLe6kRy,Vaase Local Government Health Center,p.ng.CIHP.1695,,,,,,47,47,47,47,6,,0,571
fCwe9dV4kjP,Vandeikya General Hospital,p.ng.CIHP.1747,,4653,4558,95,148,24,22,22,22,17,,53,549
ooGtz2a99Oc,Vandeikya Maternal and Child Health Clinic,p.ng.CIHP.1760,,,,,,16,16,16,16,1,,0,54
mtRcWAFc2BL,Vandeikya Primary Health Center,p.ng.CIHP.1737,,,,,,121,121,121,121,8,,0,276
zR7wi1nIM3l,Victory Hospital - Gboko,p.ng.IHVN.1370,,,,,,0,0,0,0,0,,0,0
Bt9AmJKxN28,Waapera Comprehensive Health Center,p.ng.IHVN.1714,,166,153,13,29,81,81,81,81,8,,2,663
XKWExXxnuL0,Wadata Primary Health Center,p.ng.CIHP.1514,,,,,,103,103,103,103,2,,4,480
TGvQr45Lmoy,Wajir Primary Health Center,p.ng.CIHP.1723,,4,4,0,4,31,31,31,31,5,,1,235
tCLZNcfcMy3,Wannune General Hospital,p.ng.CIHP.1679,,3148,3075,73,102,67,67,67,67,37,,47,476
MYMZKfW4a4F,Wende Primary Health Center,p.ng.CIHP.1503,,445,435,10,172,45,30,30,30,5,,29,425
Xi5cekzA2M0,Wih Abagen hospital,p.ng.CIHP.1352,,,,,,16,16,16,16,3,,0,99
j2rgCN38K5P,Woma Clinic and Maternity,p.ng.IHVN.1700,,1298,1205,93,0,330,330,330,330,28,,0,1980
GCOrXvJq3Aq,World Health System Sai,p.ng.CIHP.1761,,528,501,27,83,40,40,40,40,13,,0,236
f2gdbSL4kqK,Wuatsa Family Support Program Clinic,,,,,,,14,14,14,14,1,,0,170
HrZP9L9jT9a,Wuese Health Clinic,,,0,0,0,0,13,12,12,12,1,,0,61
cIKRpGcM5yd,Yaakar Comprehensive Health Center,p.ng.CIHP.1715,,78,75,3,9,21,21,21,21,1,,8,291
mQvR7uUjq8a,Yanibo Clinic,,,8,8,0,8,16,16,16,16,0,,0,393
CdQh5ozbdJV,Yelwata Comprehensive Health Center,p.ng.CIHP.1390,,,,,,39,39,39,39,0,,0,148
qCNoZOVZNMS,Yimase Clinic,,,8,7,1,8,5,5,5,5,0,,0,400
fYKQcVPVnyK,Yogbo Health Centre,,,,,,,52,52,52,52,0,,0,170
RL4SNIxhQBi,Zaki-Biam City Clinic and Maternity,p.ng.IHVN.1710,,,,,,,,,,,,,0
IxCvwERm4RC,Zamzam Primary Health Center,p.ng.CIHP.1505,,,,,,24,24,24,24,0,,0,272
dQECLkJP2dR,Zua Primary Health Center,p.ng.CIHP.1345,,,,,,35,35,35,35,1,,0,117
HFp2lb9f404,Agbor Central Hospital,p.ng.IHVN.2431,,2659,2559,100,91,888,878,878,878,39,,36,2780
XLx2UT9cWWv,Assumption Catholic Hospital - Warri,p.ng.CCFN.2742,,1244,1197,47,84,834,834,834,834,28,,24,4649
MarzoBBhHwN,Ekpan General Hospital,p.ng.IHVN.2722,,519,518,1,68,870,870,870,870,20,,0,1443
CKaHg4rNsaT,Erhoike Cottage Hospital,p.ng.IHVN.2362,,615,585,30,23,75,75,75,75,5,,2,253
Fd3GeuuIXaT,Federal Medical Center - Asaba,p.ng.IHVN.2579,,1904,1855,49,36,536,536,536,536,31,,32,1511
ATzoX3X0tMC,Okwe General Hospital,p.ng.IHVN.2578,,473,459,14,37,678,678,678,678,20,,12,1073
aTSvjQIz6Ge,Our Lady of Nigeria Clinic - Oghara,p.ng.CCFN.2366,,,,,,132,132,132,132,0,,0,251
HcJMUzznNH2,St. Elizabeth Catholic Hospital - Sapele,p.ng.CCFN.2618,,,,,,83,83,83,83,1,,0,199
ZXt1KCneHT3,St. Francis Catholic Hospital - Okpara Inland,p.ng.CCFN.2364,,903,871,32,43,561,561,561,561,11,,9,3389
YoNalkNNrRL,St. Theresa's Catholic Hospital - Issele Uku,p.ng.CCFN.2285,,,,,,61,61,61,61,2,,0,200
tbZ9d57pEmL,Amaeze Health Center,p.ng.CCCRN.2899,,,,,,57,57,57,57,1,,0,57
HxfTOfJ9f5B,Amana Millennium Development Goal Health Center,p.ng.ECEWS.2862,,,,,,31,31,31,31,0,,0,415
ZAWXn9MDeia,Anike Health Post,p.ng.CCCRN.2953,,,,,,49,49,49,49,2,,0,50
aF59FyzYbWA,Azunramura Health Center,p.ng.ECEWS.2853,,,,,,63,63,63,63,1,,0,241
N5OLwDjjg5Q,Blessed Hospital,p.ng.CCCRN.2908,,,,,,1,1,1,1,0,,0,1
IdZ8YkqgLnR,Charity Maternity,p.ng.CCCRN.2943,,,,,,27,27,27,27,0,,0,211
LkLqrwn4DOE,Chidera Maternity,p.ng.CCCRN.2843,,,,,,105,105,105,105,1,,0,104
wau4y2bXLCP,Chidinma Health Clinic and Maternity,p.ng.CCCRN.2848,,,,,,44,44,44,44,0,,0,49
OE32ywojY59,Chima Maternity,p.ng.CCCRN.2944,,,,,,243,243,243,243,3,,0,765
ItfMcDWOQO3,Chinemerem Maternity,p.ng.CCCRN.2819,,,,,,73,73,73,73,0,,0,154
v55ttPzgyCz,Chinenye Maternity,p.ng.CCCRN.2849,,,,,,96,96,96,96,0,,0,192
gLAsVQuuVC2,Divine Mercy Health Clinic and Maternity,p.ng.CCCRN.2850,,,,,,11,11,11,11,0,,0,11
PeN51qAXotr,Effemgbabu Millennium Development Goal Health Center,p.ng.ECEWS.2873,,,,,,70,70,70,70,0,,0,285
GvSyA0rgxcx,Ezzangbo General Hospital,p.ng.CCCRN.2947,,518,502,16,38,5,5,5,5,1,,1,255
UAO4dzZ5mBJ,Federal Teaching Hospital (FETHA) - Abakaliki,p.ng.CCCRN.2847,,1636,1577,59,50,584,584,584,584,12,,0,1013
UEuNoLKt7kv,His Grace Hospital,p.ng.CCCRN.2826,,,,,,6,6,6,6,0,,0,111
jsoN8WHN499,Ishiagu General Hospital,p.ng.CCCRN.2904,,,,,,35,35,35,35,0,,0,35
ai45xujaicQ,Iyioji Health Center - Akaeze,p.ng.CCCRN.2900,,,,,,84,84,84,84,1,,2,441
xeWUSkYnLzj,Life Care Clinic,p.ng.CCCRN.2838,,,,,,0,0,0,0,0,,0,0
ZJbKmwJnPqp,Little Seed Hospital,p.ng.CCCRN.2945,,,,,,355,355,355,355,3,,0,1161
tSACH3nizA8,Mater Misericordiae Hospital - Afikpo,p.ng.CCCRN.2821,,883,850,33,20,601,601,601,601,14,,11,782
Jn7rmqNmnQ3,Mercy Hospital and Maternity,p.ng.CCCRN.2794,,,,,,0,0,0,0,0,,0,156
U8cZ5RXEPf8,Mgbom Health Center,p.ng.CCCRN.2823,,,,,,13,13,13,13,0,,0,14
mE4mda4tyaC,National Obstetric Fistula Center,p.ng.CCCRN.2808,,,,,,0,0,0,0,0,,0,256
AFUZQqVBU1Y,Nigerian Prisons Clinic - Abakaliki,p.ng.CCCRN.2851,,,,,,0,0,0,0,0,,0,0
G1EXGGuDNsu,Nkwagu Model Primary Health Center,p.ng.CCCRN.2791,,,,,,174,174,174,174,0,,0,473
IAQVcEN9b3H,Ntezi Health Center,p.ng.ECEWS.2894,,,,,,41,41,41,41,6,,0,175
i6uhoOE7uzY,Nwadinafo Maternity,p.ng.CCCRN.2958,,,,,,50,50,50,50,0,,0,50
wgPSPhrbn6T,Nzerem Okue Millenium Development Goal (MDG) Health Center,p.ng.CCCRN.2906,,,,,,301,301,301,301,0,,0,1890
nPzXIA4VZs3,Odomowo Basic Health Center,p.ng.ECEWS.2883,,,,,,61,61,61,61,2,,1,205
uvHg7BaT9P2,Offia Oji Health Center,p.ng.CCCRN.2809,,,,,,250,250,250,250,0,,0,568
EvZDhvUnWRx,Ogwor Health Center,p.ng.CCCRN.2907,,,,,,282,282,282,282,4,,1,1158
sYjMgFpgXKZ,Okposi General Hospital,p.ng.CCCRN.2934,,,,,,36,36,36,36,4,,0,212
NGXFTmAJbrt,Onuani Health Post,p.ng.CCCRN.2955,,,,,,50,50,50,50,2,,0,606
NIEFNp6GH4s,Onuebonyi Millenium Development Goal (MDG) Health Center,p.ng.CCCRN.2797,,,,,,187,187,187,187,4,,0,660
wu7IcqeYFSB,Onueke General Hospital,p.ng.ECEWS.2867,,636,603,33,14,68,68,68,68,7,,1,331
I1qU6ZP7J95,Onunweke Health Center,p.ng.ECEWS.2891,,,,,,11,11,11,11,0,,0,99
xrbOagnSTSa,Police Clinic - Abakaliki,p.ng.CCCRN.2805,,,,,,25,25,25,25,0,,0,141
I7WLJ0rvWnq,Poperi Health Center,p.ng.CCCRN.2815,,,,,,358,358,358,358,2,,0,626
TQ2GQqQSeVq,Presbyterian Joint Hospital Ekoli,p.ng.CCCRN.2836,,,,,,0,0,0,0,0,,0,0
w0b6qJ2rZVK,Romec Hospital and Maternity,p.ng.CCCRN.2827,,,,,,12,12,12,12,2,,0,237
rOZ5kjLKn5D,St. Charles Clinic,p.ng.CCCRN.2817,,,,,,0,0,0,0,0,,0,77
XY2n4EEGGG1,St. Patrick Mile 4 Hospital - Abakaliki,p.ng.CCCRN.2844,,1515,1466,49,29,1498,1498,1498,1498,19,,13,2312
SLZYHlSnmLo,St. Vincent Hospital - Ndubia,p.ng.CCCRN.2914,,,,,,391,391,391,391,1,,0,592
dhLFxT2Osv2,Standard Specialist Hospital,p.ng.CCCRN.2936,,,,,,0,0,0,0,0,,0,0
HYVaO3i4zzT,Sudan United Mission Hospital - Effium,p.ng.CCCRN.2948,,,,,,113,113,113,113,1,,0,227
ATj51Kup2on,Sudan United Mission Hospital - Iboko,p.ng.CCCRN.2921,,,,,,16,16,16,16,0,,0,150
LJ5RmLC13xl,Sudan United Mission Hospital - Onuenyim,p.ng.CCCRN.2915,,,,,,382,382,382,382,1,,0,488
H08C2CCR5VS,Udoka Maternity,p.ng.CCCRN.2937,,,,,,26,26,26,26,0,,0,116
XWWpLgOdOlO,Umunuka Health Center,p.ng.CCCRN.2927,,,,,,171,171,171,171,0,,0,1179
rhVlxog6wSX,Unwana Health Center,p.ng.CCCRN.2828,,,,,,40,40,40,40,1,,0,171
SCGG8879ZTY,Urban Health Center - Okposi,p.ng.CCCRN.2928,,,,,,11,11,11,11,1,,0,225
jwRGI4W2ZgL,Uzochi Clinic and Maternity,p.ng.ECEWS.2885,,,,,,6,6,6,6,0,,1,22
NG8ugV9Xv57,"Ekiti State University Teaching Hospital, Ado-Ekiti",p.ng.IHVN.3046,,1003,949,54,55,539,539,539,539,20,,0,2993
tvMCpBfPpNr,"Federal Medical Center, Ido-Ekiti",p.ng.IHVN.3058,,1001,976,25,22,130,130,130,130,11,,5,819
m0MGjVaytWB,Iye Ekiti General Hospital,p.ng.IHVN.3066,,26,23,3,0,7,7,7,7,0,,0,84
bxXIciySrPz,Iyin Ekiti General Hospital,p.ng.IHVN.3059,,36,36,0,1,24,24,24,24,0,,2,277
itv14Kob5b5,Okesa Ekiti Comprehensive Health Center,p.ng.IHVN.3047,,,,,,491,491,491,491,11,,14,1005
IaAbEGvnhF7,Omuo Ekiti General Hospital,p.ng.IHVN.3054,,82,81,1,6,34,34,34,34,0,,0,218
IjAiByZWjsw,Oye Ekiti General Hospital,p.ng.IHVN.3071,,39,38,1,5,35,35,35,35,0,,0,269
JuqXC7es8tF,Agbadala Health Center,p.ng.ECEWS.3310,,,,,,20,20,20,20,2,,0,110
dUqXnH0OkYo,Aji Health Center,p.ng.CCCRN.3207,,,,,,131,131,131,131,0,,0,430
YL10FxZFOHJ,Akama-Oghe Health Center,p.ng.ECEWS.3151,,,,,,,,,,,,,0
IDqbA7IuXn7,Akegbe Ugwu Health Center,p.ng.CCCRN.3277,,,,,,,,,,,,,0
FSXzVxNfNsb,Akpoga Mbu Health Center,p.ng.CCCRN.3252,,,,,,10,10,10,10,1,,0,55
XAFOtVqt6Rl,Aku Health Center,p.ng.CCCRN.3171,,,,,,,,,,,,,0
OnaoguPuzmD,Akulue Memorial Hospital - Nsukka,p.ng.CCCRN.3295,,,,,,40,40,40,40,0,,0,252
uRhK3JFXrqG,Amansido Health Center,p.ng.ECEWS.3157,,,,,,5,5,5,5,0,,0,113
NUtiY153f23,Amechi Cottage Hospital,p.ng.CCCRN.3124,,,,,,,,,,,,,0
qwrdRoDFbju,Amechi Idodo Health Center,p.ng.CCCRN.3269,,,,,,19,19,19,19,0,,0,19
